C0 (2602 genes)	C1 (2342 genes)	C2 (2363 genes)
Genes	Genes	Genes
MmuEX0000028	MmuEX0000007	MmuEX0000032
MmuEX0000212	MmuEX0000205	MmuEX0000040
MmuEX0000213	MmuEX0000227	MmuEX0000252
MmuEX0000224	MmuEX0000328	MmuEX0000348
MmuEX0000232	MmuEX0000457	MmuEX0000396
MmuEX0000239	MmuEX0000460	MmuEX0000506
MmuEX0000344	MmuEX0000475	MmuEX0000533
MmuEX0000456	MmuEX0000611	MmuEX0000570
MmuEX0000467	MmuEX0000688	MmuEX0000678
MmuEX0000609	MmuEX0000726	MmuEX0000736
MmuEX0000685	MmuEX0000739	MmuEX0000740
MmuEX0000744	MmuEX0000824	MmuEX0000842
MmuEX0000745	MmuEX0000862	MmuEX0000843
MmuEX0000754	MmuEX0000863	MmuEX0000858
MmuEX0000807	MmuEX0000864	MmuEX0000860
MmuEX0000849	MmuEX0000898	MmuEX0000892
MmuEX0000916	MmuEX0000915	MmuEX0000957
MmuEX0000935	MmuEX0001043	MmuEX0001010
MmuEX0000959	MmuEX0001077	MmuEX0001106
MmuEX0000993	MmuEX0001087	MmuEX0001149
MmuEX0000994	MmuEX0001088	MmuEX0001181
MmuEX0001004	MmuEX0001089	MmuEX0001400
MmuEX0001023	MmuEX0001090	MmuEX0001454
MmuEX0001138	MmuEX0001091	MmuEX0001555
MmuEX0001208	MmuEX0001161	MmuEX0001583
MmuEX0001212	MmuEX0001163	MmuEX0001690
MmuEX0001283	MmuEX0001164	MmuEX0001697
MmuEX0001288	MmuEX0001166	MmuEX0001716
MmuEX0001378	MmuEX0001189	MmuEX0001754
MmuEX0001460	MmuEX0001262	MmuEX0001791
MmuEX0001499	MmuEX0001263	MmuEX0001862
MmuEX0001506	MmuEX0001278	MmuEX0001894
MmuEX0001512	MmuEX0001303	MmuEX0001932
MmuEX0001561	MmuEX0001333	MmuEX0002037
MmuEX0001577	MmuEX0001339	MmuEX0002107
MmuEX0001668	MmuEX0001353	MmuEX0002110
MmuEX0001790	MmuEX0001368	MmuEX0002138
MmuEX0001869	MmuEX0001380	MmuEX0002226
MmuEX0002003	MmuEX0001409	MmuEX0002299
MmuEX0002108	MmuEX0001453	MmuEX0002315
MmuEX0002127	MmuEX0001457	MmuEX0002336
MmuEX0002261	MmuEX0001461	MmuEX0002365
MmuEX0002356	MmuEX0001462	MmuEX0002403
MmuEX0002421	MmuEX0001507	MmuEX0002425
MmuEX0002422	MmuEX0001579	MmuEX0002453
MmuEX0002423	MmuEX0001833	MmuEX0002568
MmuEX0002600	MmuEX0001982	MmuEX0002572
MmuEX0002730	MmuEX0002028	MmuEX0002704
