C0 (876 genes)	C1 (904 genes)	C2 (701 genes)	C3 (645 genes)	C4 (809 genes)	C5 (832 genes)
Genes	Genes	Genes	Genes	Genes	Genes
MmuINT0000292	MmuINT0000032	MmuINT0000219	MmuINT0000210	MmuINT0000031	MmuINT0000033
MmuINT0000321	MmuINT0000115	MmuINT0000289	MmuINT0000924	MmuINT0000137	MmuINT0000392
MmuINT0000486	MmuINT0000267	MmuINT0001220	MmuINT0001090	MmuINT0000404	MmuINT0000400
MmuINT0000573	MmuINT0000303	MmuINT0001324	MmuINT0001201	MmuINT0000546	MmuINT0000541
MmuINT0001028	MmuINT0000347	MmuINT0001748	MmuINT0001821	MmuINT0000590	MmuINT0000612
MmuINT0001094	MmuINT0000475	MmuINT0001819	MmuINT0001962	MmuINT0000616	MmuINT0000623
MmuINT0001130	MmuINT0000613	MmuINT0001922	MmuINT0002078	MmuINT0001136	MmuINT0001127
MmuINT0001195	MmuINT0000920	MmuINT0002008	MmuINT0002414	MmuINT0001384	MmuINT0001146
MmuINT0001385	MmuINT0001234	MmuINT0002065	MmuINT0002653	MmuINT0001555	MmuINT0001194
MmuINT0001478	MmuINT0001717	MmuINT0002477	MmuINT0002753	MmuINT0001662	MmuINT0001380
MmuINT0001715	MmuINT0002466	MmuINT0002677	MmuINT0003662	MmuINT0001714	MmuINT0002191
MmuINT0001820	MmuINT0002893	MmuINT0002909	MmuINT0004016	MmuINT0002505	MmuINT0002460
MmuINT0001961	MmuINT0003109	MmuINT0002918	MmuINT0005128	MmuINT0002708	MmuINT0002494
MmuINT0002434	MmuINT0003584	MmuINT0002942	MmuINT0005600	MmuINT0002966	MmuINT0004327
MmuINT0002458	MmuINT0003600	MmuINT0004175	MmuINT0005841	MmuINT0003394	MmuINT0004978
MmuINT0002493	MmuINT0003648	MmuINT0004539	MmuINT0006244	MmuINT0003839	MmuINT0005343
MmuINT0002694	MmuINT0003933	MmuINT0004966	MmuINT0006347	MmuINT0003930	MmuINT0005851
MmuINT0002899	MmuINT0004146	MmuINT0005342	MmuINT0007013	MmuINT0004026	MmuINT0005858
MmuINT0002915	MmuINT0004720	MmuINT0005434	MmuINT0007127	MmuINT0004102	MmuINT0006667
MmuINT0003082	MmuINT0005348	MmuINT0006138	MmuINT0007416	MmuINT0004821	MmuINT0007276
MmuINT0003808	MmuINT0005351	MmuINT0007428	MmuINT0008281	MmuINT0004900	MmuINT0008466
MmuINT0004131	MmuINT0005396	MmuINT0007472	MmuINT0008708	MmuINT0004996	MmuINT0008497
MmuINT0004163	MmuINT0005438	MmuINT0008338	MmuINT0008792	MmuINT0005588	MmuINT0008511
MmuINT0004208	MmuINT0005519	MmuINT0008349	MmuINT0008807	MmuINT0005684	MmuINT0008775
MmuINT0005686	MmuINT0005677	MmuINT0008948	MmuINT0009846	MmuINT0005718	MmuINT0008776
MmuINT0005701	MmuINT0005853	MmuINT0009700	MmuINT0009978	MmuINT0005812	MmuINT0008889
MmuINT0005808	MmuINT0006055	MmuINT0009983	MmuINT0010665	MmuINT0005969	MmuINT0009880
MmuINT0006659	MmuINT0006135	MmuINT0010048	MmuINT0012336	MmuINT0005984	MmuINT0009910
MmuINT0006673	MmuINT0006947	MmuINT0011374	MmuINT0012729	MmuINT0006763	MmuINT0010168
MmuINT0006695	MmuINT0008283	MmuINT0011751	MmuINT0012768	MmuINT0008336	MmuINT0010568
MmuINT0007203	MmuINT0008542	MmuINT0011867	MmuINT0013061	MmuINT0008707	MmuINT0010802
MmuINT0007476	MmuINT0008773	MmuINT0012006	MmuINT0013525	MmuINT0008785	MmuINT0011500
MmuINT0008260	MmuINT0008791	MmuINT0012229	MmuINT0013835	MmuINT0009083	MmuINT0012470
MmuINT0008525	MmuINT0008951	MmuINT0012348	MmuINT0014659	MmuINT0010134	MmuINT0012939
MmuINT0008796	MmuINT0009172	MmuINT0013079	MmuINT0015279	MmuINT0011384	MmuINT0012949
MmuINT0008903	MmuINT0009694	MmuINT0013500	MmuINT0015479	MmuINT0011396	MmuINT0012950
MmuINT0009071	MmuINT0009696	MmuINT0013668	MmuINT0015938	MmuINT0011508	MmuINT0012999
MmuINT0009563	MmuINT0009957	MmuINT0013983	MmuINT0015945	MmuINT0011674	MmuINT0013219
MmuINT0009705	MmuINT0010461	MmuINT0014024	MmuINT0016634	MmuINT0011741	MmuINT0014068
MmuINT0009852	MmuINT0010703	MmuINT0014067	MmuINT0016785	MmuINT0011865	MmuINT0014105
MmuINT0010469	MmuINT0012008	MmuINT0014151	MmuINT0016789	MmuINT0012044	MmuINT0014603
MmuINT0010513	MmuINT0013721	MmuINT0014691	MmuINT0016966	MmuINT0012112	MmuINT0014660
MmuINT0010664	MmuINT0013840	MmuINT0014746	MmuINT0017143	MmuINT0012268	MmuINT0015429
MmuINT0010673	MmuINT0013924	MmuINT0015940	MmuINT0018427	MmuINT0012474	MmuINT0015922
MmuINT0011386	MmuINT0014595	MmuINT0016850	MmuINT0018844	MmuINT0012759	MmuINT0015959
MmuINT0011979	MmuINT0014732	MmuINT0016967	MmuINT0018905	MmuINT0013236	MmuINT0016962
MmuINT0012108	MmuINT0014858	MmuINT0017503	MmuINT0019192	MmuINT0014207	MmuINT0017375
MmuINT0012762	MmuINT0014937	MmuINT0017816	MmuINT0019742	MmuINT0014426	MmuINT0017415
MmuINT0013215	MmuINT0014987	MmuINT0018239	MmuINT0019887	MmuINT0014601	MmuINT0017521
MmuINT0013256	MmuINT0015339	MmuINT0018748	MmuINT0020134	MmuINT0015039	MmuINT0017586
MmuINT0013299	MmuINT0015539	MmuINT0019179	MmuINT0020218	MmuINT0015293	MmuINT0018074
MmuINT0013437	MmuINT0015575	MmuINT0019581	MmuINT0020292	MmuINT0015467	MmuINT0018092
MmuINT0014069	MmuINT0015604	MmuINT0019952	MmuINT0020362	MmuINT0015736	MmuINT0018538
MmuINT0014616	MmuINT0015649	MmuINT0019989	MmuINT0020610	MmuINT0015813	MmuINT0018775
MmuINT0014661	MmuINT0016013	MmuINT0020095	MmuINT0020737	MmuINT0015840	MmuINT0019069
MmuINT0014845	MmuINT0016872	MmuINT0020532	MmuINT0020751	MmuINT0015997	MmuINT0019221
