Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
AAGAB	"FLJ11506, p34"	ENSG00000103591	"Alpha and gamma adaptin binding protein"	Q6PD74	15	67200667-67255195	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"	"Protein transport, Transport"		"Palmoplantar keratoderma"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Breast - Breast glandular cells, Testis - Spermatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA039371, HPA040174"	Supported		Supported	"Nuclear speckles,Cytosol"			NA	NA			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 35: Non-specific - Mitochondria"	"Cluster 14: Neurons - Synaptic function"	"Cluster 58: Non-specific - Nuclear processes"	"Cluster 55: Non-specific - Transcription"	15	"Nuclear speckles, Cytosol"		"HPA039371: AB_10805476, HPA040174: AB_10805605"	"unprognostic (1.79e-2)"	"unprognostic (2.63e-3)"	"unprognostic (4.34e-2)"	"unprognostic (1.12e-2)"	"unprognostic (2.69e-2)"	"unprognostic (2.54e-1)"	"unprognostic (4.70e-2)"	"unprognostic (3.71e-3)"	"unprognostic (1.71e-1)"	"unprognostic (1.86e-1)"	"unprognostic (2.20e-6)"	"unprognostic (1.44e-1)"	"unprognostic (5.56e-2)"	"unprognostic (1.23e-1)"	"unprognostic (5.09e-4)"	"unprognostic (5.96e-3)"	"unprognostic (1.43e-1)"	"unprognostic (6.12e-2)"	"unprognostic (1.72e-1)"	"unprognostic (2.29e-1)"	"unprognostic (1.38e-1)"	"unprognostic (7.79e-2)"	"unprognostic (3.96e-2)"	"unprognostic (2.23e-1)"	"unprognostic (5.30e-2)"	"unprognostic (1.52e-1)"	"unprognostic (3.71e-1)"	"unprognostic (1.52e-1)"	"unprognostic (5.05e-1)"	"unprognostic (1.37e-3)"	"unprognostic (7.39e-2)"
ABHD17A	"C19orf27, FAM108A1, MGC5244"	ENSG00000129968	"Abhydrolase domain containing 17A, depalmitoylase"	Q96GS6	19	1876810-1885496	"Enzymes, Predicted intracellular proteins, Transporters"		Hydrolase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 199.2"	"Cell type enhanced"	"Detected in all"		"NK-cells: 397.6"	"Cell type enhanced"	"Detected in all"		"leukocyte: 95.9"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA043270, HPA047226, HPA069225"	Uncertain		Approved	"Nuclear speckles,Vesicles"			NA	NA			"Cluster 45: Eosinophils - Unknown function"	"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 23: Non-specific - Transcription"	"Cluster 19: NK-cells - Adaptive immune response"	1	Vesicles	"Nuclear speckles"	"HPA043270: AB_2678401, HPA047226: AB_2679991, HPA069225: "	"unprognostic (2.10e-2)"	"unprognostic (3.20e-1)"		"unprognostic (2.36e-3)"	"unprognostic (2.00e-1)"	"unprognostic (1.93e-2)"	"unprognostic (3.99e-2)"	"unprognostic (2.09e-2)"	"unprognostic (9.11e-3)"	"unprognostic (1.56e-1)"	"unprognostic (5.93e-2)"	"unprognostic (1.42e-2)"	"unprognostic (7.58e-2)"	"unprognostic (2.64e-2)"		"unprognostic (1.35e-1)"	"unprognostic (3.98e-1)"	"unprognostic (1.45e-1)"	"unprognostic (5.81e-2)"	"unprognostic (2.05e-1)"	"unprognostic (2.14e-2)"	"unprognostic (1.93e-3)"	"unprognostic (3.36e-3)"	"unprognostic (3.67e-2)"	"unprognostic (2.54e-1)"	"unprognostic (7.00e-2)"	"unprognostic (2.69e-2)"	"unprognostic (1.44e-1)"	"unprognostic (8.69e-2)"	"unprognostic (7.78e-2)"	"unprognostic (1.30e-1)"
ADAL		ENSG00000168803	"Adenosine deaminase like"	Q6DHV7	15	43330672-43354569	"Predicted intracellular proteins"	"Nucleotide metabolism"	Hydrolase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Cone photoreceptor cells: 81.6;Rod photoreceptor cells: 92.7;Spermatocytes: 105.1;Spermatogonia: 67.6"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Heart muscle - Cardiomyocytes, Testis - Spermatocytes, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA039879, HPA048175, HPA058795"	Approved		Approved	"Nucleoplasm,Nuclear speckles,Vesicles"			NA	NA			"Cluster 11: T-cells - Unknown function"	"Cluster 23: Non-specific - Cellular respiration"	"Cluster 21: Non-specific - Metabolism"	"Cluster 58: Non-specific - Nuclear processes"	"Cluster 79: Spermatocytes & Spermatogonia - Spermatogenesis"		Nucleoplasm	"Nuclear speckles, Vesicles"	"HPA039879: , HPA048175: AB_2680298, HPA058795: "	"unprognostic (5.13e-2)"	"unprognostic (1.68e-1)"	"unprognostic (8.59e-2)"	"unprognostic (7.64e-2)"	"unprognostic (6.46e-2)"	"unprognostic (2.31e-2)"	"unprognostic (1.20e-1)"	"unprognostic (1.31e-1)"	"unprognostic (1.14e-1)"	"unprognostic (2.04e-2)"	"unprognostic (1.96e-5)"	"unprognostic (3.57e-2)"	"unprognostic (2.89e-3)"	"unprognostic (1.59e-1)"	"unprognostic (1.17e-1)"	"unprognostic (1.18e-1)"	"unprognostic (1.35e-1)"	"unprognostic (5.92e-2)"	"unprognostic (1.92e-2)"	"unprognostic (1.97e-1)"	"unprognostic (6.34e-2)"	"unprognostic (7.08e-2)"	"unprognostic (2.48e-2)"	"unprognostic (8.72e-2)"	"unprognostic (2.73e-2)"	"unprognostic (2.98e-1)"	"unprognostic (6.17e-2)"	"unprognostic (4.97e-2)"	"unprognostic (1.48e-1)"	"unprognostic (5.26e-2)"	"unprognostic (2.37e-1)"
ADAM33	"C20orf153, dJ964F7.1, DKFZp434K0521"	ENSG00000149451	"ADAM metallopeptidase domain 33"	Q9BZ11	20	3667965-3682246	"Disease related genes, Human disease related genes, Predicted membrane proteins"		"Hydrolase, Metalloprotease, Protease"	Asthma	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"cervix: 72.6"	"Cell type enhanced"	"Detected in many"		"Endometrial stromal cells: 34.3;Fibroblasts: 39.2;Leydig cells: 21.9;Mesothelial cells: 14.6;Microglial cells: 17.9;Smooth muscle cells: 21.7"	"Cell type enhanced"	"Detected in many"		"committed oligodendrocyte precursor: 152.3;fibroblast: 143.9;pericyte: 125.8"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	4	"testis cancer: 12.9"	"Adipose subcutaneous - Adipose progenitor cells, Adrenal gland - Smooth muscle cells, Breast - Fibroblasts, Liver - Hepatic stellate cells, Thyroid gland - Fibroblasts"	"Region enhanced"	"Detected in single"		"cerebral cortex: 1.0"	"Low region specificity"	"Detected in all"			"HPA067152, HPA071758"	Approved		Approved	"Nuclear speckles,Plasma membrane"			NA	NA				"Cluster 41: Smooth muscle tissue - ECM organization"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 44: Connective tissue cells - ECM organization"	"Cluster 53: Fibroblasts - ECM organization"		"Plasma membrane"	"Nuclear speckles"	"HPA067152: AB_2685791, HPA071758: "	"unprognostic (6.15e-2)"	"unprognostic (2.63e-1)"	"unprognostic (6.49e-2)"	"unprognostic (6.36e-2)"		"unprognostic (5.96e-2)"	"unprognostic (1.21e-2)"	"unprognostic (5.22e-5)"		"unprognostic (8.11e-2)"							"unprognostic (1.31e-1)"		"unprognostic (1.41e-1)"	"unprognostic (7.06e-2)"	"unprognostic (2.28e-2)"	"unprognostic (9.90e-2)"	"unprognostic (2.17e-1)"	"unprognostic (1.02e-1)"	"unprognostic (2.93e-2)"	"unprognostic (7.32e-2)"		"unprognostic (1.77e-2)"	"unprognostic (3.31e-1)"		"unprognostic (2.58e-2)"
ADAMTS4	"ADAMTS-2, ADMP-1, KIAA0688"	ENSG00000158859	"ADAM metallopeptidase with thrombospondin type 1 motif 4"	O75173	1	161184302-161199054	"Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted secreted proteins, Transporters"		"Hydrolase, Metalloprotease, Protease"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adipose tissue: 113.0;ovary: 92.8"	"Cell type enhanced"	"Detected in many"		"Adipocytes: 76.5;Endothelial cells: 119.2;Fibroblasts: 76.3;Lymphatic endothelial cells: 41.4;Oligodendrocytes: 52.1;Smooth muscle cells: 203.5"	"Group enriched"	"Detected in some"	7	"committed oligodendrocyte precursor: 27.6;oligodendrocyte: 95.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	10	"plasmacytoid DC: 4.4"	"Lineage enriched"	"Detected in single"	10	"dendritic cells: 4.4"	"Cancer enhanced"	"Detected in some"		"Bone cancer: 8.1;skin cancer: 5.6"	"Breast - Endothelial cells, Colon - Neutrophils"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB025876, HPA051296, HPA068374"	Uncertain		Supported	"Nuclear speckles"	"Secreted to extracellular matrix"	Enzyme	NA	NA		16000	"Cluster 30: Non-specific - DNA binding"	"Cluster 41: Smooth muscle tissue - ECM organization"	"Cluster 30: White matter - Myelination"	"Cluster 69: Skin cancer - ECM organization"	"Cluster 48: Smooth muscle cells - Signal transduction"	30	"Nuclear speckles"		"CAB025876: , HPA051296: AB_2681426, HPA068374: AB_2685978"	"unprognostic (8.81e-2)"	"unprognostic (6.90e-2)"	"unprognostic (2.55e-1)"	"unprognostic (2.47e-3)"	"unprognostic (3.20e-2)"	"unprognostic (1.95e-2)"	"unprognostic (1.98e-3)"	"unprognostic (2.38e-1)"	"unprognostic (8.82e-2)"	"unprognostic (3.27e-1)"	"unprognostic (2.03e-1)"	"unprognostic (1.97e-4)"	"unprognostic (2.83e-8)"	"unprognostic (2.28e-1)"	"unprognostic (3.82e-3)"	"unprognostic (8.33e-4)"	"unprognostic (8.12e-3)"	"unprognostic (3.27e-2)"	"unprognostic (1.86e-1)"	"unprognostic (4.24e-2)"	"unprognostic (7.67e-2)"	"unprognostic (3.86e-2)"	"unprognostic (8.04e-2)"	"unprognostic (2.24e-1)"	"unprognostic (7.82e-3)"	"unprognostic (1.15e-3)"	"unprognostic (1.06e-1)"	"unprognostic (7.85e-2)"	"unprognostic (1.06e-1)"	"unprognostic (5.93e-4)"	"unprognostic (1.17e-1)"
ADGRD1	"DKFZp434B1272, GPR133, PGR25"	ENSG00000111452	"Adhesion G protein-coupled receptor D1"	Q6QNK2	12	130953907-131141469	"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"heart muscle: 60.3"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 2: 28.1;Cardiomyocytes: 34.0;Endometrial stromal cells: 45.9;Fibroblasts: 31.6;Mesothelial cells: 75.6;Microglial cells: 24.2;Sertoli cells: 32.6"	"Cell type enhanced"	"Detected in many"		"fibroblast: 194.7;pericyte: 161.1"	"Cancer enhanced"	"Detected in many"		"Lung Adenocarcinoma (TCGA): 9.2"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	6	"classical monocyte: 2.0;intermediate monocyte: 2.3;myeloid DC: 1.1;non-classical monocyte: 1.9"	"Group enriched"	"Detected in many"	6	"dendritic cells: 1.1;monocytes: 2.3"	"Low cancer specificity"	"Detected in many"			"Adipose visceral - Mesothelial cells, Pituitary gland - Fibroblasts, Spleen - Fibroblast_1"	"Region enhanced"	"Detected in some"		"basal ganglia: 5.1"	"Low region specificity"	"Detected in all"			"HPA042395, HPA076279"	Uncertain		Approved	"Nucleoplasm,Nuclear speckles,Plasma membrane"			NA	NA		890000	"Cluster 26: Monocytes - Plasma membrane proteins"	"Cluster 41: Smooth muscle tissue - ECM organization"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 53: Fibroblasts - ECM organization"	1	"Plasma membrane"	"Nucleoplasm, Nuclear speckles"	"HPA042395: AB_10796906, HPA076279: "	"unprognostic (1.11e-1)"					"unprognostic (2.65e-2)"	"unprognostic (8.47e-3)"							"unprognostic (6.71e-5)"		"unprognostic (3.42e-4)"	"unprognostic (3.74e-2)"	"unprognostic (5.39e-3)"	"unprognostic (3.18e-1)"	"unprognostic (1.39e-1)"		"unprognostic (4.82e-2)"	"unprognostic (1.32e-2)"	"unprognostic (9.69e-2)"	"unprognostic (4.72e-2)"	"unprognostic (9.97e-4)"		"unprognostic (4.75e-3)"	"unprognostic (1.78e-1)"	"unprognostic (3.19e-2)"	
AIPL1	LCA4	ENSG00000129221	"Aryl hydrocarbon receptor interacting protein like 1"	Q9NZN9	17	6393693-6435199	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Sensory transduction, Vision"		"Disease variant, Leber congenital amaurosis"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	218	"retina: 810.0"	"Group enriched"	"Detected in some"	5	"Cone photoreceptor cells: 1366.1;Rod photoreceptor cells: 1629.2"	"Cell type enhanced"	"Detected in single"		"upper rhombic lip: 1.3"	"Cancer enriched"	"Detected in single"	7	"Testicular Germ Cell Tumor (TCGA): 2.4"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Brain cancer: 4.3;Uterine cancer: 6.6"	"Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			HPA026578	Enhanced		Approved	"Nuclear speckles,Cytosol"			NA	NA				"Cluster 76: Retina - Visual perception"	"Cluster 6: Non-specific - Immune response"	"Cluster 1: Neuronal - Visual perception"	"Cluster 66: Photoreceptor cells - Visual perception"	24	"Nuclear speckles"	Cytosol	"HPA026578: AB_2671905"																													"unprognostic (1.02e-1)"		
AK6	CINAP	ENSG00000085231	"Adenylate kinase 6"	Q9Y3D8	5	69350984-69370013	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Ribosome biogenesis, rRNA processing"	"Kinase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Late spermatids: 305.3"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells, Thyroid gland - Thyroid glandular cells"					"Low region specificity"	"Detected in all"			"CAB005361, HPA070217"	Supported		Supported	"Nuclear speckles,Centrosome"			No	No			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 43: Non-specific - Mitochondrial translation"	"Cluster 31: Non-specific - Transcription"	"Cluster 22: Non-specific - mRNA splicing & Cell cycle"	"Cluster 36: Late spermatids - Unknown function"	5	"Nuclear speckles"	Centrosome	"CAB005361: AB_2302969, HPA070217: "	"unprognostic (9.75e-2)"	"unprognostic (6.41e-2)"		"unprognostic (1.33e-2)"	"unprognostic (2.86e-1)"	"unprognostic (7.55e-3)"	"unprognostic (1.74e-1)"	"unprognostic (6.32e-2)"	"unprognostic (4.43e-2)"	"unprognostic (2.45e-4)"	"unprognostic (4.80e-2)"	"unprognostic (8.14e-2)"	"unprognostic (5.19e-2)"	"unprognostic (2.45e-2)"		"unprognostic (8.72e-4)"	"unprognostic (7.15e-2)"	"unprognostic (9.38e-2)"	"unprognostic (7.07e-2)"	"unprognostic (1.53e-1)"	"unprognostic (1.27e-2)"	"unprognostic (7.61e-3)"	"unprognostic (4.11e-1)"	"unprognostic (2.23e-2)"	"unprognostic (7.82e-2)"	"unprognostic (9.76e-3)"	"unprognostic (8.81e-2)"	"unprognostic (9.97e-2)"	"unprognostic (1.69e-1)"	"unprognostic (7.26e-2)"	"unprognostic (1.13e-1)"
AKAP17A	"721P, CCDC133, CXYorf3, DXYS155E, MGC39904, SFRS17A, XE7, XE7Y"	ENSG00000197976	"A-kinase anchoring protein 17A"	Q02040	X	1591604-1602520	"Predicted intracellular proteins"	"mRNA processing, mRNA splicing"	RNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"basophil: 4.5"	"Lineage enriched"	"Detected in single"	5	"granulocytes: 4.5"	"Low cancer specificity"	"Detected in all"								"Low region specificity"	"Detected in all"			"HPA043247, HPA051020"	Supported		Supported	"Nuclear speckles,Cytosol"			NA	NA			"Cluster 46: Basophils - Proteolysis"	"Cluster 47: Spleen - Immune response"	"Cluster 11: White matter - Signal transduction"	"Cluster 36: Non-specific - mRNA processing"	"Cluster 80: Non-specific - Transcription"	12	"Nuclear speckles"	Cytosol	"HPA043247: AB_10964776, HPA051020: AB_2681314"	"unprognostic (2.01e-2)"	"unprognostic (1.28e-1)"		"unprognostic (3.39e-2)"	"unprognostic (7.63e-2)"	"unprognostic (3.38e-2)"	"unprognostic (8.42e-2)"		"unprognostic (1.13e-2)"	"unprognostic (1.43e-1)"	"unprognostic (2.65e-4)"	"unprognostic (1.54e-1)"	"unprognostic (1.75e-1)"	"unprognostic (1.62e-2)"		"unprognostic (1.97e-1)"	"unprognostic (2.95e-1)"	"unprognostic (2.04e-1)"	"unprognostic (7.82e-2)"	"unprognostic (1.39e-1)"	"unprognostic (4.55e-3)"	"unprognostic (2.69e-4)"	"unprognostic (3.03e-1)"	"unprognostic (1.82e-3)"	"unprognostic (3.33e-3)"	"unprognostic (1.53e-3)"	"unprognostic (2.78e-1)"	"unprognostic (6.11e-2)"	"unprognostic (3.56e-1)"	"unprognostic (1.00e-2)"	"unprognostic (1.76e-1)"
AKAP8L	"HAP95, NAKAP95"	ENSG00000011243	"A-kinase anchoring protein 8 like"	Q9ULX6	19	15380050-15419141	"Predicted intracellular proteins"	"Host-virus interaction, mRNA processing, mRNA splicing, Transcription, Transcription regulation"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA042485, HPA042546"	Enhanced		Supported	"Nuclear speckles"			NA	NA			"Cluster 33: Non-specific - ATP binding"	"Cluster 79: Non-specific - Transcription"	"Cluster 34: Non-specific - Mixed function"	"Cluster 40: Non-specific - Unknown function"	"Cluster 55: Non-specific - Transcription"	75	"Nuclear speckles"		"HPA042485: AB_2678019, HPA042546: AB_2678046"	"unprognostic (2.48e-1)"	"unprognostic (1.41e-1)"	"unprognostic (7.84e-2)"	"unprognostic (9.90e-3)"	"unprognostic (8.28e-2)"	"unprognostic (4.46e-2)"	"unprognostic (1.24e-1)"	"unprognostic (3.55e-4)"	"unprognostic (7.14e-2)"	"unprognostic (1.34e-1)"	"unprognostic (1.55e-2)"	"unprognostic (2.09e-3)"	"unprognostic (7.01e-2)"	"unprognostic (4.14e-8)"	"unprognostic (5.03e-2)"	"unprognostic (1.49e-1)"	"unprognostic (1.18e-1)"	"unprognostic (1.07e-2)"	"unprognostic (2.79e-2)"	"unprognostic (9.63e-2)"	"unprognostic (6.23e-2)"	"unprognostic (6.50e-3)"	"unprognostic (9.09e-2)"	"unprognostic (3.13e-3)"	"unprognostic (1.11e-2)"	"unprognostic (2.61e-3)"	"unprognostic (7.53e-2)"	"unprognostic (2.10e-2)"	"unprognostic (7.50e-2)"	"unprognostic (2.71e-1)"	"unprognostic (2.40e-1)"
